Listing ID,Title,Description,Category,Who made it?,What is it?,When was it made?,Renewal options,Product type,Tags,Materials,Production partners,Section,Price,Quantity,SKU,Variation 1,V1 Option,Variation 2,V2 Option,Var Price,Var Quantity,Var SKU,Var Visibility,Var Photo,Shipping profile,Weight,Length,Width,Height,Return policy,Video 1,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10
1077240530,"Tungsten Wedding Band for Men, 8mm Black Mens Wedding Ring Abalone, Personalized Engraved Ring, Comfort Fit","Tungsten Carbide wedding band for men, engraved and shipped from our Irving, Texas workshop. Free engraving, free 2-day FedEx, lifetime sizing. Comfort fit.

Key Features:
. Material: Tungsten Carbide
. Feature: Abalone
. Color: Black
. Available widths: 8mm
. Comfort fit interior for all-day wear
. Free custom laser engraving inside the band
. Personalized to order in our Irving, Texas workshop
. Aydins Lifetime Warranty (free first 6 months, $34.50 6-12 months, $54.50 after) against breaks and material defects
. Lifetime Sizing program for the original purchaser ($34.50 year one, $54.50 each year after)

Personalization:
Add your engraving text, date, initials, or symbol in the personalization box at checkout. Max 30 characters per line.

Shipping:
Free FedEx 2Day shipping in the U.S. Most orders ship in 1 to 3 business days from our Irving, Texas workshop. Total 3 to 5 business days order to door.
Free international shipping on all wedding bands to Canada, UK, Germany, and Australia. We ship worldwide.

Returns and Exchanges:
. 30-day returns on unengraved rings ($25 restocking, customer pays return shipping)
. Free exchanges within 30 days on unengraved rings
. Engraved-ring exchanges accepted ($34.50 surcharge). Most jewelers will not take engraved rings back at all.

About Aydins:
Engraving wedding bands in Irving, Texas since 2011. Small family operation. Every ring is inspected before shipping.

Questions? Message us. We reply fast.
",Jewelry > Rings > Wedding & Engagement > Wedding Bands,I did,A finished product,2020 - 2026,Automatic,Physical,"tungsten ring,mens wedding band,mens wedding ring,mens tungsten ring,mens tungsten band,personalized ring,engraved ring,tungsten band,mens ring,wedding band men,comfort fit ring,black tungsten ring,abalone ring","Tungsten Carbide,Abalone,Opal",,Black Wedding Bands,137.94,18,,Ring size,7,Width,8mm,,,JDTR941,On,,All Shipping,,,,,30 days to return or exchange,"https://v.etsystatic.com/video/upload/ac_none,du_15,q_auto:good/USD%7Cen-US%7CUS_9814a2c5ecaea44b936629c3f431b144.mp4",https://i.etsystatic.com/13201508/r/il/bcd8dd/8114314469/il_fullxfull.8114314469_q1l6.jpg,https://i.etsystatic.com/13201508/r/il/1418d2/8114314583/il_fullxfull.8114314583_bmug.jpg,https://i.etsystatic.com/13201508/r/il/61381f/8114314723/il_fullxfull.8114314723_2xe6.jpg,https://i.etsystatic.com/13201508/r/il/467cd4/8066395338/il_fullxfull.8066395338_9xeu.jpg,https://i.etsystatic.com/13201508/r/il/5f80c3/8114314867/il_fullxfull.8114314867_mv7h.jpg,https://i.etsystatic.com/13201508/r/il/c9db63/8114314935/il_fullxfull.8114314935_6bkh.jpg,https://i.etsystatic.com/13201508/r/il/3ade1f/8066395544/il_fullxfull.8066395544_mp5g.jpg,,,
,,,,,,,,,,,,,,,,Ring size,7 1/2,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8 1/2,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9 1/2,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10 1/2,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11 1/2,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,12,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,12 1/2,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,13,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,14,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,15,Width,8mm,,,JDTR941,On,,,,,,,,,,,,,,,,,,
522912537,"Tungsten Wedding Band for Men, 8mm Black Mens Wedding Ring Brushed, Personalized Engraved Ring, Comfort Fit","Tungsten Carbide wedding band for men, engraved and shipped from our Irving, Texas workshop. Free engraving, free 2-day FedEx, lifetime sizing. Comfort fit.

Key Features:
. Material: Tungsten Carbide
. Feature: Brushed
. Color: Black
. Available widths: 8mm
. Comfort fit interior for all-day wear
. Free custom laser engraving inside the band
. Personalized to order in our Irving, Texas workshop
. Aydins Lifetime Warranty (free first 6 months, $34.50 6-12 months, $54.50 after) against breaks and material defects
. Lifetime Sizing program for the original purchaser ($34.50 year one, $54.50 each year after)

Personalization:
Add your engraving text, date, initials, or symbol in the personalization box at checkout. Max 30 characters per line.

Shipping:
Free FedEx 2Day shipping in the U.S. Most orders ship in 1 to 3 business days from our Irving, Texas workshop. Total 3 to 5 business days order to door.
Free international shipping on all wedding bands to Canada, UK, Germany, and Australia. We ship worldwide.

Returns and Exchanges:
. 30-day returns on unengraved rings ($25 restocking, customer pays return shipping)
. Free exchanges within 30 days on unengraved rings
. Engraved-ring exchanges accepted ($34.50 surcharge). Most jewelers will not take engraved rings back at all.

About Aydins:
Engraving wedding bands in Irving, Texas since 2011. Small family operation. Every ring is inspected before shipping.

Questions? Message us. We reply fast.
",Jewelry > Rings > Wedding & Engagement > Wedding Bands,I did,A finished product,2020 - 2026,Automatic,Physical,"tungsten ring,mens wedding band,mens wedding ring,mens tungsten ring,mens tungsten band,personalized ring,engraved ring,tungsten band,mens ring,wedding band men,comfort fit ring,black tungsten ring,brushed ring","Tungsten Carbide,Titanium,Gold",,Black Wedding Bands,137.94,14,,Ring size,7,,,,,JDTR709,On,,All Shipping,,,,,30 days to return or exchange,,https://i.etsystatic.com/13201508/r/il/e12b69/8114307111/il_fullxfull.8114307111_jxbz.jpg,https://i.etsystatic.com/13201508/r/il/e419d3/8114307205/il_fullxfull.8114307205_ry0j.jpg,https://i.etsystatic.com/13201508/r/il/c3e57a/8066387642/il_fullxfull.8066387642_d0wo.jpg,https://i.etsystatic.com/13201508/r/il/8c00c4/8114307337/il_fullxfull.8114307337_2jwh.jpg,https://i.etsystatic.com/13201508/r/il/21e504/8114307417/il_fullxfull.8114307417_gi10.jpg,https://i.etsystatic.com/13201508/r/il/c49952/8066387854/il_fullxfull.8066387854_srbx.jpg,,,,
,,,,,,,,,,,,,,,,Ring size,7 1/2,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8 1/2,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9 1/2,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10 1/2,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11 1/2,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,12,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,12 1/2,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,13,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,14,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,15,,,,,JDTR709,On,,,,,,,,,,,,,,,,,,
528037261,"Tungsten Wedding Band for Men, 6-8mm Black Mens Wedding Ring, Personalized Engraved Ring, Comfort Fit","Tungsten Carbide wedding band for men, engraved and shipped from our Irving, Texas workshop. Free engraving, free 2-day FedEx, lifetime sizing. Comfort fit.

Key Features:
. Material: Tungsten Carbide
. Color: Black
. Available widths: 6mm/8mm
. Comfort fit interior for all-day wear
. Free custom laser engraving inside the band
. Personalized to order in our Irving, Texas workshop
. Aydins Lifetime Warranty (free first 6 months, $34.50 6-12 months, $54.50 after) against breaks and material defects
. Lifetime Sizing program for the original purchaser ($34.50 year one, $54.50 each year after)

Personalization:
Add your engraving text, date, initials, or symbol in the personalization box at checkout. Max 30 characters per line.

Shipping:
Free FedEx 2Day shipping in the U.S. Most orders ship in 1 to 3 business days from our Irving, Texas workshop. Total 3 to 5 business days order to door.
Free international shipping on all wedding bands to Canada, UK, Germany, and Australia. We ship worldwide.

Returns and Exchanges:
. 30-day returns on unengraved rings ($25 restocking, customer pays return shipping)
. Free exchanges within 30 days on unengraved rings
. Engraved-ring exchanges accepted ($34.50 surcharge). Most jewelers will not take engraved rings back at all.

About Aydins:
Engraving wedding bands in Irving, Texas since 2011. Small family operation. Every ring is inspected before shipping.

Questions? Message us. We reply fast.
",Jewelry > Rings > Wedding & Engagement > Wedding Bands,I did,A finished product,2020 - 2026,Automatic,Physical,"tungsten ring,mens wedding band,mens wedding ring,mens tungsten ring,mens tungsten band,personalized ring,engraved ring,tungsten band,mens ring,wedding band men,comfort fit ring,black tungsten ring,wedding band",Tungsten Carbide,,Black Wedding Bands,164.51,1,,Ring size,5,Width,6mm,,,AYTR022,On,,All Shipping,,,,,30 days to return or exchange,,https://i.etsystatic.com/13201508/r/il/4eadce/8114312399/il_fullxfull.8114312399_e2s5.jpg,https://i.etsystatic.com/13201508/r/il/55b06e/8066393006/il_fullxfull.8066393006_mddt.jpg,https://i.etsystatic.com/13201508/r/il/f0a940/8066393122/il_fullxfull.8066393122_rw7c.jpg,https://i.etsystatic.com/13201508/r/il/fb6fdf/8066393204/il_fullxfull.8066393204_tgcx.jpg,https://i.etsystatic.com/13201508/r/il/9192ec/8114312835/il_fullxfull.8114312835_lex0.jpg,https://i.etsystatic.com/13201508/r/il/a91eba/8114312879/il_fullxfull.8114312879_nloj.jpg,https://i.etsystatic.com/13201508/r/il/290b82/8066393468/il_fullxfull.8066393468_3uqs.jpg,https://i.etsystatic.com/13201508/r/il/70e74c/8066393516/il_fullxfull.8066393516_7cqy.jpg,,
,,,,,,,,,,,,,,,,Ring size,5,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,5 1/2,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,5 1/2,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,6,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,6,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,6 1/2,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,6 1/2,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,7,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,7,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,7 1/2,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,7 1/2,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8 1/2,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8 1/2,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9 1/2,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9 1/2,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10 1/2,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10 1/2,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11 1/2,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11 1/2,Width,8mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,12,Width,6mm,,,AYTR022,On,,,,,,,,,,,,,,,,,,
