"Tags","Tag Occurrences","Average Searches (US)","Average Clicks (US)","Average CTR (US)","Etsy Competition (US)","Google Searches","Google Competition","Google CPC"
"tungsten ring","82","3700","5273","143","45029","40500","1","3.42"
"men's tungsten band","79","0","0","0","38883","260","1","1.89154"
"men's tungsten ring","79","110","110","100","39738","9900","0.999812","1.79456"
"tungsten band","78","50","18","36","42285","590","1","3.85"
"men's wedding ring","75","15","19","127","182020","90500","0.999988","2.66017"
"men's wedding band","72","2095","2247","107","129454","246000","1","3.54458"
"tungsten","66","575","279","49","46769","74000","0.91","2.47"
"ring","53","71873","92521","129","2058447","823000","0.999399","1.07435"
"black ring","48","5085","4483","88","209538","18100","1","3.65"
"black tungsten band","42","0","0","0","21453","50","1","2.24458"
"black tungsten","38","0","0","0","22554","480","0.994558","3.79229"
"black band","27","15","13","87","137995","1900","0.87","2.43"
"personalized ring","25","4630","4750","103","120086","4400","1","3.86"
"tungsten black","24","0","0","0","22627","0","0","0"
"wedding band","18","14539","16322","112","310535","110000","1","7"
"wedding ring","18","9064","9601","106","689048","368000","0.99","4.41"
"men's ring","17","716","474","66","412681","135000","1","1.46346"
"black tungsten ring","13","20","19","95","22265","3600","0.999537","2.66548"
"blue tungsten ring","12","21","0","0","6870","880","1","4.2"
"men's tungsten","11","0","0","0","39099","0","0","0"
"rose gold band","10","503","703","140","134123","2400","1","5.59"
"titanium ring mens","9","0","0","0","18766","8100","1","2.23351"
"engraved ring","9","7461","9301","125","52109","9900","1","4.23"
"mens ring","9","35075","45566","130","420801","201000","1","2.62"
"titanium","9","3542","4714","133","64946","74000","0.04","6.59"
"titanium band","9","131","184","140","18214","390","1","2.26"
"titanium ring","9","2510","1965","78","25429","12100","1","2.33"
"rose gold ring","8","3198","2331","73","337025","27100","1","3.95"
"tungsten mens band","8","0","0","0","39626","0","0","0"
"men's band","7","0","0","0","265637","2900","1","1.19743"
"blue ring","6","763","782","102","273015","2900","1","6"
"wedding","6","54180","47322","87","4558587","165000","0.208747","1.51541"
"meteorite ring","6","1472","1603","109","4924","14800","1","3.61"
"engraving","6","1163","995","86","190428","49500","0.92","2.78"
"deer antler band","5","5","4","80","1597","10","1","0.862405"
"celtic ring","5","2097","1728","82","23341","4400","0.99","2.57"
"black titanium ring","5","345","166","48","5774","1900","1","2"
"black titanium","5","10","10","100","12676","1000","1","2.66"
"titanium black ring","5","10","10","100","5821","1900","1","2"
"men's black ring","5","0","0","0","67336","0","0","0"
"black titanium band","5","0","0","0","4820","0","0","0"
"pet tag","4","2177","2867","132","75523","6600","1","4.84"
"pet id tag","4","1090","1080","99","40094","6600","1","2.63"
"cat gifts","4","2520","1887","75","364918","4400","1","4"
"deer antler ring","4","165","231","140","2289","1600","1","4.35"
