"Shop","Label","Note","Fr 29","Sa 30","Su 31","Mo 1","Tu 2","We 3","Th 4","7D Sales","30D Sales","Total Sales","Active Listings","Shop Age"
"LuxuriaJewelers","","","21","9","13","17","21","13","13","107","416","40,771","412","10yrs 2mth"
"BrielleShoppe","","","14","17","6","17","22","17","14","107","395","93,915","108","10yrs 9mth"
"LazerBoyzDesigns","","","13","10","24","19","14","14","15","109","458","53,384","854","8yrs 1mth"
"CavalierJewelers","","","8","7","7","8","5","9","5","49","189","38,572","264","7yrs 8mth"
"VeilJewelers","","","8","6","8","7","1","3","10","43","160","13,263","308","5yrs 5mth"
"SIMPLEnUNIQUE","","","7","2","12","4","4","3","0","32","132","30,034","350","12yrs 1mth"
"YorksJewelryDesign","","","4","2","3","3","0","6","2","20","89","40,796","1,680","8yrs 9mth"
"LALaserEngraving","","","2","0","3","3","0","5","0","13","41","33,740","197","11yrs 4mth"
"RingsParadise","","","1","2","0","1","3","2","1","10","40","13,544","699","11yrs 11mth"
"ModernWeddingRing","","","1","4","4","4","5","4","3","25","71","19,262","369","9yrs 0mth"
"Bravo3Productions","","","1","0","0","0","0","0","1","2","2","1,562","13","8yrs 6mth"
"Zayjeweler","","","1","1","0","0","0","0","0","2","4","557","229","4yrs 8mth"
"AlphaTungsten","","","0","2","1","3","3","1","0","10","38","11,404","56","11yrs 4mth"
"InfiniteJewelryCA","","","0","0","0","0","0","0","0","0","0","4,532","0","11yrs 4mth"
"BoundlessBands","","","0","0","1","0","1","2","0","4","24","13,200","909","11yrs 4mth"
"BellyssaJewelry","","","0","0","0","0","0","0","0","0","0","61,964","0","10yrs 9mth"
"BryonHshop","","","0","0","0","0","0","0","0","0","0","7,131","0","10yrs 4mth"
"RingsByPristine","","","0","0","0","0","0","0","0","0","0","21,483","0","9yrs 2mth"
"BohemianCraftsmen","","","0","1","0","0","1","1","0","3","8","3,315","518","8yrs 7mth"
"MJewelersStore","","","0","0","0","0","0","0","0","0","2","503","194","7yrs 10mth"
"RingsByLux","","","0","0","0","0","0","0","0","0","0","46,034","0","7yrs 5mth"
"GentlemensJunction","","","0","0","0","0","0","0","0","0","0","35,860","0","7yrs 4mth"
"AmazingWeddingBands","","","0","0","0","0","0","0","0","0","0","203","0","6yrs 9mth"
"Theonar","","","0","0","2","0","1","2","1","6","25","3,505","342","7yrs 7mth"
"AydinsCreations","","","0","0","0","0","0","0","0","0","0","308","0","7yrs 4mth"
"AydinsJewelry","","","0","1","1","1","0","1","0","4","12","10,702","501","9yrs 11mth"
"TOTAL","","","81","64","85","87","81","83","65","546","2,106","599,544","8,003",""
