listing_id,current_title,reason,recommendation_strength
522912537,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Blue Tungsten Carbide Ring, Available in 8mm, Personalized Engraved Ring","SKU duplicate: JDTR709. Winner: 4512044948",HIGH
528037261,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Blue Tungsten Carbide Ring, Available in 6mm, 8mm","SKU duplicate: AYTR022. Winner: 4512045822",HIGH
4512044566,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Blue Tungsten Carbide Ring, Available in 6mm, 8mm","SKU duplicate: AYTR435. Winner: 1205810812",HIGH
1219759609,"Men's Tungsten Carbide Wedding Band, Silver Tungsten Carbide Ring, Gold Tungsten Carbide Ring, Available in 6mm, 8mm","SKU duplicate: AYTR363. Winner: 4512043812",HIGH
4512044721,"Fingerprint Jewelry | His and Her Fingerprint, Couples Ring, Promise Ring, Plus Engraved Ring, Personalized Ring, Anniversary Ring, Tungsten","SKU duplicate: JDTR061. Winner: 817764707",HIGH
4512045450,"Men's Tungsten Carbide Wedding Band, Gold Tungsten Carbide Ring, Rose Gold Tungsten Carbide Ring, Wood Inlay Wedding Band, Available in 6mm","SKU duplicate: JDTR739. Winner: 526238869",HIGH
4512044152,"Black Brushed Mens Tungsten Carbide Wedding Ring with Rose Gold Band, Gift for Anniversary and Engagement, Promise Rings for Him","SKU duplicate: JDTR865. Winner: 830756083",HIGH
4512043105,"Men's Titanium Wedding Band, Silver Titanium Ring, Red Titanium Ring, Available in 6mm, 8mm, Personalized Engraved Ring, Comfort Fit","SKU duplicate: AYTR109. Winner: 1219753461",HIGH
514629168,"Silver Brushed Gold Tungsten Wedding Band Ring Comfort Fit","SKU duplicate: JDTR738. Winner: 4512046064",HIGH
4512045826,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Carbon Fiber Wedding Band, Available in 6mm, 8mm","SKU duplicate: JDTR813. Winner: 512437020",HIGH
4512042169,"Men's Tungsten Carbide Wedding Band, Gunmetal Tungsten Carbide Ring, Wood Inlay Wedding Band, Available in 8mm, Personalized Engraved Ring","SKU duplicate: AYTR092. Winner: 817720997",HIGH
1085033765,"Black Tungsten Ring | Iron Wood | Mens Wedding Band | Tungsten Wedding Ring | Unique Tungsten Band | Promise Ring | Wood Ring | Gift for Him","SKU duplicate: AYTR203. Winner: 4512045162",HIGH
4512044818,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Wood Inlay Wedding Band, Available in 8mm, Personalized Engraved Ring","SKU duplicate: AYTR183. Winner: 1071090688",HIGH
4512045168,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Orange Tungsten Carbide Ring, Available in 6mm, 8mm","SKU duplicate: AYTR119. Winner: 1205805390",HIGH
674790993,"Men's Tungsten Carbide Wedding Band, Available in 8mm, Fingerprint Ring, Custom Fingerprint Jewelry, Personalized Engraved Ring, Comfort Fit","SKU duplicate: AYTR011. Winner: 539297138",HIGH
4512043501,"Men's Tungsten Carbide Wedding Band, Available in 8mm, Fingerprint Ring, Custom Fingerprint Jewelry, Personalized Engraved Ring, Comfort Fit","SKU duplicate: AYTR011. Winner: 539297138",HIGH
4512008217,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Silver Tungsten Carbide Ring, Available in 8mm, Personalized Engraved Ring","SKU duplicate: AYTR011. Winner: 539297138",HIGH
509712178,"Personalized Fingerprint Dog Tag w/ Two Name - Laser Engraved Fingerprint Dog Tag","SKU duplicate: AYSSTAGP. Winner: 4512034186",HIGH
4512043578,"Personalized Fingerprint Dog Tag w/ Two Name - Laser Engraved Fingerprint Dog Tag","SKU duplicate: AYSSTAGP. Winner: 4512034186",HIGH
499499119,"Personalized Fingerprint Dog Tag Necklace | Custom Memorial Keepsake | Engraved Stainless Steel Pendant for Men, Sympathy Gift","SKU duplicate: AYSSTAGP. Winner: 4512034186",HIGH
4512043417,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Silver Tungsten Carbide Ring, Carbon Fiber Wedding Band, Available in 8mm","SKU duplicate: JDTR380. Winner: 512444810",HIGH
532801793,"Tungsten Wedding Band Silver, Sterling Silver Braid, Tungsten Ring, Mens Wedding Band, Anniversary Ring, Tungsten Carbide, Men's Ring,Unique","SKU duplicate: JDTR217. Winner: 4512033184",HIGH
4512044678,"Tungsten Wedding Band Men, High Polished, Beveled Edge, Black Tungsten Ring, Blue Grooved Center, Tungsten Wedding Ring","SKU duplicate: JDTR733. Winner: 509099536",HIGH
4512043721,"Wood Wedding Band | Box Elder Wooden Ring, Mens Wood Ring, Wedding Ring, Wedding Band, Promise Ring, Engagement Rings Men, Alternative Ring","SKU duplicate: AYTR034. Winner: 640726968",HIGH
1085032359,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Wood Inlay Wedding Band, Available in 8mm, Personalized Engraved Ring","SKU duplicate: AYTR172. Winner: 4512044808",HIGH
1205805282,"Men's Titanium Wedding Band, Silver Titanium Ring, Red Titanium Ring, Available in 6mm, 8mm, Personalized Engraved Ring, Comfort Fit","SKU duplicate: AYTR309. Winner: 4512044262",HIGH
4512057448,"Rose Gold Tungsten, Black Wedding Band, Tungsten Ring,Tungsten Carbide, Wedding Ring, Engagement Band, Promise Ring, Rose Black Ring","SKU duplicate: TR729. Winner: 522910507",HIGH
4512055715,"Men's Wood Wedding Band, Silver Wood Ring, Red Wood Ring, Wood Inlay Wedding Band, Available in 8mm, Personalized Engraved Ring","SKU duplicate: AYTR068. Winner: 817678243",HIGH
532667558,"Men's Tungsten Carbide Wedding Band, Silver Tungsten Carbide Ring, Gold Tungsten Carbide Ring, Available in 6mm, 8mm, 10mm","SKU duplicate: AYTR510. Winner: 4512057354",HIGH
674792355,"Personalized Ring | Fingerprint Ring, Custom Fingerprint, Promise Ring, Engraved Ring, Anniversary Ring, Engagement Ring,Unique Wedding Ring","SKU duplicate: AYTR009. Winner: 4512042393",HIGH
4512057674,"Men's Tungsten Carbide Wedding Band, Available in 8mm, Fingerprint Ring, Custom Fingerprint Jewelry, Personalized Engraved Ring, Comfort Fit","SKU duplicate: AYTR009. Winner: 4512042393",HIGH
4512020055,"Men's Tungsten Carbide Wedding Band, Available in 6mm, 8mm, Fingerprint Ring, Custom Fingerprint Jewelry, Personalized Engraved Ring","SKU duplicate: AYTR009. Winner: 4512042393",HIGH
660953700,"Men's Tungsten Carbide Wedding Band, Available in 8mm, Fingerprint Ring, Custom Fingerprint Jewelry, Personalized Engraved Ring, Comfort Fit","SKU duplicate: AYTR009. Winner: 4512042393",HIGH
539296130,"Mens Wedding Band Red, Silver Tungsten Ring, Wedding Ring 8mm, Engagement Ring, Promise Ring, Rings for Men, Personalized Ring, Brushed Ring","SKU duplicate: AYTR009. Winner: 4512042393",HIGH
4512009132,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Red Tungsten Carbide Ring, Wood Inlay Wedding Band, Available in 8mm","SKU duplicate: AYTR037. Winner: 895892476",HIGH
4512057672,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Red Tungsten Carbide Ring, Wood Inlay Wedding Band, Available in 8mm","SKU duplicate: AYTR037. Winner: 895892476",HIGH
803432898,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Red Tungsten Carbide Ring, Wood Inlay Wedding Band, Available in 8mm","SKU duplicate: AYTR037. Winner: 895892476",HIGH
4512056693,"Men's Damascus Steel Wedding Band, Silver Damascus Steel Ring, Wood Inlay Wedding Band, Available in 6mm, 8mm, Personalized Engraved Ring","SKU duplicate: AYTR064. Winner: 817713747",HIGH
4512056511,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Red Tungsten Carbide Ring, Available in 8mm, Personalized Engraved Ring","SKU duplicate: JDTR1141. Winner: 1822237177",HIGH
895890230,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Blue Tungsten Carbide Ring, Wood Inlay Wedding Band, Available in 8mm","SKU duplicate: AYTR038. Winner: 4512053733",HIGH
4512044030,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Blue Tungsten Carbide Ring, Wood Inlay Wedding Band, Available in 8mm","SKU duplicate: AYTR038. Winner: 4512053733",HIGH
803772710,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Blue Tungsten Carbide Ring, Wood Inlay Wedding Band, Available in 8mm","SKU duplicate: AYTR038. Winner: 4512053733",HIGH
683797309,"Men's Tungsten Carbide Wedding Band, Black Tungsten Carbide Ring, Available in 8mm, Personalized Engraved Ring, Comfort Fit, Free Engraving","SKU duplicate: JDTR822. Winner: 4512056151",HIGH
803811772,"Tungsten Wood Rings | Bocote Wood Wedding Band, Wood Engagement, Anniversary Ring, Silver Brushed Flat Tungsten Carbide Comfort Fit Ring","SKU duplicate: AYTR079. Winner: 4512055969",HIGH
602673677,"Tungsten Ring Black and Purple Tungsten Passionate Purple Beveled Edge Wedding Band","SKU duplicate: AYTR015. Winner: 4512057576",HIGH
